,region_code,총 거주자수,license_total,accident_count,fatalities,injuries,vehicle_total,gdp_per_capita,gdp_total_million,license_rate,vehicle_rate,accident_rate,fatality_rate,injury_rate,accident_per_vehicle,accident_per_license,accident_per_gdp
0,111123,137560,102267,917,1253,5,3609,238599,35719537,0.7434355917417854,0.026235824367548705,0.006666182029659785,1.366412213740458,0.0054525627044711015,0.2540870047104461,0.008966724358786314,2.5672225258686864e-11
1,111131,208787,158092,868,1174,12,550,58918,13294640,0.7571927370957005,0.0026342636275247023,0.004157346961257166,1.3525345622119815,0.013824884792626729,1.5781818181818181,0.005490473901272676,6.528947004206206e-11
2,111142,274893,188594,919,1155,7,380,48682,13999893,0.6860633046312565,0.0013823560439880243,0.003343118959013143,1.2568008705114255,0.007616974972796518,2.418421052631579,0.004872901576932458,6.564335884567118e-11
3,111141,332794,230665,785,1018,4,305,18732,6554954,0.6931164624362218,0.0009164828692824991,0.0023588165652024978,1.2968152866242038,0.005095541401273885,2.5737704918032787,0.0034032037803741356,1.1975675191618432e-10
4,111152,338577,226648,1520,1906,5,307,22164,7711273,0.6694134569093588,0.0009067361338779657,0.004489377600959309,1.2539473684210527,0.003289473684210526,4.95114006514658,0.006706434647559211,1.971140173613358e-10
5,111151,380302,240346,1199,1623,8,249,12742,4860242,0.6319872101645534,0.0006547428096617951,0.0031527575453192463,1.353628023352794,0.006672226855713094,4.815261044176707,0.0049886413753505365,2.466955349136936e-10
6,111161,422053,275052,1286,1628,7,286,14608,6371894,0.6517001419253032,0.000677640012036403,0.0030470106834923575,1.265940902021773,0.005443234836702955,4.496503496503497,0.004675479545685907,2.018238219279856e-10
7,111291,285352,169961,877,1123,5,325,11754,3462961,0.5956187445681124,0.0011389441812217893,0.0030733970674815666,1.2805017103762828,0.005701254275940707,2.6984615384615385,0.005160007295791387,2.5325148045271084e-10
8,111171,304768,193003,522,671,5,276,11233,3490683,0.6332784281814364,0.0009056068878622428,0.0017127782444351113,1.28544061302682,0.009578544061302681,1.891304347826087,0.0027046211716916318,1.495409351121256e-10
9,111311,494907,315595,1288,1717,5,315,13331,6728358,0.6376854641377067,0.0006364832180591505,0.0026025091582863044,1.3330745341614907,0.0038819875776397515,4.088888888888889,0.004081179993345902,1.914285773735583e-10
10,111181,463381,294703,1218,1574,2,300,11139,5112192,0.6359842116962068,0.0006474154097815836,0.0026285065637132294,1.2922824302134648,0.0016420361247947454,4.06,0.004132974554042545,2.3825396229249606e-10
11,111191,303252,205251,818,1105,6,451,28793,9039083,0.6768331288829093,0.0014872119557331855,0.002697426562726709,1.3508557457212713,0.007334963325183374,1.8137472283813747,0.003985364261319068,9.049590539217308e-11
12,111201,360464,251578,1201,1641,11,343,58606,21399314,0.6979282258422478,0.0009515513338363887,0.003331816769497093,1.3663613655287261,0.009159034138218152,3.501457725947522,0.004773867349291273,5.612329441962485e-11
13,111301,432974,282154,1274,1689,7,348,16897,7356067,0.6516649960505712,0.0008037434118445911,0.0029424399617529,1.3257456828885401,0.005494505494505495,3.660919540229885,0.004515264713596121,1.7319037469343333e-10
14,111212,559405,371704,1538,2001,12,362,32709,18347568,0.6644631349380145,0.0006471161323191605,0.0027493497555438366,1.301040312093628,0.007802340702210663,4.248618784530387,0.00413770096636033,8.382582367319745e-11
15,111221,390302,267736,1320,1736,7,304,34144,14663398,0.6859713760113963,0.0007788840436380033,0.003381996505270278,1.3151515151515152,0.005303030303030303,4.342105263157895,0.004930229778587863,9.002006219840722e-11
16,111281,226026,155439,798,1071,8,179,71770,17801015,0.6877040694433384,0.0007919442895950023,0.003530567279870457,1.3421052631578947,0.010025062656641603,4.4581005586592175,0.005133846718005134,4.48289044192143e-11
17,111231,372039,275493,1948,2643,8,384,109100,44265877,0.7404949481102787,0.0010321498552571101,0.0052360102032313815,1.356776180698152,0.004106776180698152,5.072916666666667,0.007070960060691197,4.4006809127491136e-11
18,111241,375796,258752,1230,1615,2,313,17250,6712864,0.6885437843936604,0.0008328987003587053,0.003273052400770631,1.3130081300813008,0.0016260162601626016,3.929712460063898,0.004753586445708632,1.8323028740042998e-10
19,111251,478513,325147,1254,1581,13,289,12792,6347562,0.6794946009826275,0.0006039543335290787,0.0026206184575967633,1.2607655502392345,0.01036682615629984,4.339100346020762,0.0038567171156430784,1.9755616408315507e-10
20,111262,403381,297202,2027,2959,17,531,96783,38335706,0.7367773891184761,0.0013163733542234264,0.005025025968005434,1.4597927972372966,0.008386778490379871,3.817325800376648,0.0068202771179197985,5.2874988137690744e-11
21,111261,541986,402810,3754,4863,11,427,155358,77924019,0.7432110792529696,0.0007878432284228744,0.006926378172129907,1.2954182205647309,0.002930207778369739,8.791569086651053,0.009319530299644994,4.817513326667609e-11
22,111273,649496,460254,2500,3424,20,414,50290,31834324,0.7086325396923153,0.0006374173205069778,0.003849138408858561,1.3696,0.008,6.038647342995169,0.005431783319645239,7.853158747771745e-11
23,111274,456374,320801,1428,1921,9,305,20717,9364063,0.7029344353534601,0.0006683115164316986,0.003129012608080215,1.3452380952380953,0.0063025210084033615,4.6819672131147545,0.004451357695269029,1.5249790609055064e-10
