집계월,시도,시군구,나이,1종소계,2종소계,2종 원자
2024-12-31,서울,서울 강남,16,0,6,6
2024-12-31,서울,서울 강남,17,0,23,23
2024-12-31,서울,서울 강남,18,81,243,11
2024-12-31,서울,서울 강남,19,282,1062,8
2024-12-31,서울,서울 강남,20,461,1828,9
2024-12-31,서울,서울 강남,21,563,2227,13
2024-12-31,서울,서울 강남,22,646,2201,5
2024-12-31,서울,서울 강남,23,714,2833,8
2024-12-31,서울,서울 강남,24,865,3748,7
2024-12-31,서울,서울 강남,25,890,3763,14
2024-12-31,서울,서울 강남,26,1233,4259,10
2024-12-31,서울,서울 강남,27,1345,4649,14
2024-12-31,서울,서울 강남,28,1665,4961,19
2024-12-31,서울,서울 강남,29,1890,5064,10
2024-12-31,서울,서울 강남,30,2172,5365,13
2024-12-31,서울,서울 강남,31,2323,5233,13
2024-12-31,서울,서울 강남,32,2525,5098,13
2024-12-31,서울,서울 강남,33,2619,5022,9
2024-12-31,서울,서울 강남,34,2535,4604,12
2024-12-31,서울,서울 강남,35,2452,4611,11
2024-12-31,서울,서울 강남,36,2584,4551,7
2024-12-31,서울,서울 강남,37,2594,4420,11
2024-12-31,서울,서울 강남,38,2856,4388,11
2024-12-31,서울,서울 강남,39,3160,4452,11
2024-12-31,서울,서울 강남,40,3340,4525,9
2024-12-31,서울,서울 강남,41,4025,5017,10
2024-12-31,서울,서울 강남,42,4359,5464,13
2024-12-31,서울,서울 강남,43,4627,5604,9
2024-12-31,서울,서울 강남,44,4759,5741,17
2024-12-31,서울,서울 강남,45,4836,6114,13
2024-12-31,서울,서울 강남,46,4361,5074,7
2024-12-31,서울,서울 강남,47,4745,5528,9
2024-12-31,서울,서울 강남,48,4700,5355,6
2024-12-31,서울,서울 강남,49,4758,5100,9
2024-12-31,서울,서울 강남,50,4915,5095,13
2024-12-31,서울,서울 강남,51,4770,5147,9
2024-12-31,서울,서울 강남,52,4933,5054,13
2024-12-31,서울,서울 강남,53,4977,4974,12
2024-12-31,서울,서울 강남,54,4688,4566,16
2024-12-31,서울,서울 강남,55,4561,4356,8
2024-12-31,서울,서울 강남,56,4042,3796,17
2024-12-31,서울,서울 강남,57,3787,3532,16
2024-12-31,서울,서울 강남,58,3180,2850,13
2024-12-31,서울,서울 강남,59,3465,3338,12
2024-12-31,서울,서울 강남,60,3362,3328,10
2024-12-31,서울,서울 강남,61,3127,3106,13
2024-12-31,서울,서울 강남,62,3085,2937,15
2024-12-31,서울,서울 강남,63,3095,3009,9
2024-12-31,서울,서울 강남,64,3179,2944,12
2024-12-31,서울,서울 강남,65,2989,2853,7
2024-12-31,서울,서울 강남,66,2800,2856,13
2024-12-31,서울,서울 강남,67,2918,2937,11
2024-12-31,서울,서울 강남,68,2569,2793,14
2024-12-31,서울,서울 강남,69,2597,2926,8
2024-12-31,서울,서울 강남,70,2239,2390,7
2024-12-31,서울,서울 강남,71,1952,2337,4
2024-12-31,서울,서울 강남,72,1988,2479,7
2024-12-31,서울,서울 강남,73,1173,1521,10
2024-12-31,서울,서울 강남,74,1240,1738,7
2024-12-31,서울,서울 강남,75,1172,1791,4
2024-12-31,서울,서울 강남,76,1129,1614,2
2024-12-31,서울,서울 강남,77,925,1526,5
2024-12-31,서울,서울 강남,78,672,1347,2
2024-12-31,서울,서울 강남,79,512,1026,4
2024-12-31,서울,서울 강남,80,432,914,3
2024-12-31,서울,서울 강남,81,331,716,3
2024-12-31,서울,서울 강남,82,327,754,2
2024-12-31,서울,서울 강남,83,208,598,4
2024-12-31,서울,서울 강남,84,158,460,2
2024-12-31,서울,서울 강남,85,120,371,3
2024-12-31,서울,서울 강남,86,78,280,1
2024-12-31,서울,서울 강남,87,69,209,0
2024-12-31,서울,서울 강남,88,49,166,1
2024-12-31,서울,서울 강남,89,27,133,0
2024-12-31,서울,서울 강남,90,9,78,0
2024-12-31,서울,서울 강남,91,17,59,0
2024-12-31,서울,서울 강남,92,12,53,0
2024-12-31,서울,서울 강남,93,8,33,0
2024-12-31,서울,서울 강남,94,4,26,0
2024-12-31,서울,서울 강남,95,4,28,0
2024-12-31,서울,서울 강남,96,3,24,0
2024-12-31,서울,서울 강남,97,3,15,0
2024-12-31,서울,서울 강남,98,2,10,0
2024-12-31,서울,서울 강남,99,12,23,0
2024-12-31,서울,서울 강동,16,0,12,12
2024-12-31,서울,서울 강동,17,0,31,31
2024-12-31,서울,서울 강동,18,107,126,21
2024-12-31,서울,서울 강동,19,366,661,19
2024-12-31,서울,서울 강동,20,578,1015,11
2024-12-31,서울,서울 강동,21,663,1289,10
2024-12-31,서울,서울 강동,22,831,1508,14
2024-12-31,서울,서울 강동,23,964,1891,11
2024-12-31,서울,서울 강동,24,1192,2720,29
2024-12-31,서울,서울 강동,25,1286,2749,15
2024-12-31,서울,서울 강동,26,1432,3280,13
2024-12-31,서울,서울 강동,27,1735,3511,16
2024-12-31,서울,서울 강동,28,2002,3743,17
2024-12-31,서울,서울 강동,29,2251,3921,21
2024-12-31,서울,서울 강동,30,2486,3953,20
2024-12-31,서울,서울 강동,31,2664,3750,22
2024-12-31,서울,서울 강동,32,3062,3892,17
2024-12-31,서울,서울 강동,33,3041,3650,8
2024-12-31,서울,서울 강동,34,2899,3400,8
2024-12-31,서울,서울 강동,35,2893,3307,13
2024-12-31,서울,서울 강동,36,3044,3349,14
2024-12-31,서울,서울 강동,37,3052,3228,4
2024-12-31,서울,서울 강동,38,3279,3083,6
2024-12-31,서울,서울 강동,39,3555,2946,5
2024-12-31,서울,서울 강동,40,3730,2854,4
2024-12-31,서울,서울 강동,41,4177,2995,9
2024-12-31,서울,서울 강동,42,4502,3107,11
2024-12-31,서울,서울 강동,43,4844,3226,11
2024-12-31,서울,서울 강동,44,4664,3056,5
2024-12-31,서울,서울 강동,45,4471,3085,14
2024-12-31,서울,서울 강동,46,3983,2455,17
2024-12-31,서울,서울 강동,47,4069,2644,7
2024-12-31,서울,서울 강동,48,3894,2525,16
2024-12-31,서울,서울 강동,49,3816,2581,7
2024-12-31,서울,서울 강동,50,4101,2566,12
2024-12-31,서울,서울 강동,51,4076,2752,15
